"dT"	"dC"	"ATP"	"dTTP"	"dCTP"	"VdT"	"VdC"	"fg"	"year"	"jrnl"	"vol"	"page"	"frstAut"	"seq"	"state"	"E"	"k"
0	88.858	2000	0	0	NA	646	"2"	1999	"FEBS"	443	170	"Wang"	"wt"	"dimer"	0.00375	0.312984496124031
0	97.768	2000	0	0	NA	701	"2"	1999	"FEBS"	443	170	"Wang"	"wt"	"dimer"	0.00375	0.339631782945736
0	142.147	2000	0	0	NA	715	"2"	1999	"FEBS"	443	170	"Wang"	"wt"	"dimer"	0.00375	0.346414728682171
1	0	2000	0	0	160.1	NA	"t1"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0775678294573643
2	0	2000	0	0	254.4	NA	"t1"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.123255813953488
5	0	2000	0	0	398.9	NA	"t1"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.193265503875969
11	0	2000	0	0	620.6	NA	"t1"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.300678294573643
21	0	2000	0	0	763	NA	"t1"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.369670542635659
41	0	2000	0	0	872.4	NA	"t1"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.422674418604651
81	0	2000	0	0	1063	NA	"t1"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.515019379844961
161	0	2000	0	0	1221.6	NA	"t1"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.591860465116279
100	0	5	0	0	206	NA	"t2"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0998062015503876
100	0	10	0	0	338	NA	"t2"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.163759689922481
100	0	20	0	0	489	NA	"t2"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.236918604651163
100	0	50	0	0	660	NA	"t2"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.319767441860465
100	0	100	0	0	765	NA	"t2"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.370639534883721
100	0	200	0	0	849	NA	"t2"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.411337209302326
100	0	400	0	0	978	NA	"t2"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.473837209302326
100	0	800	0	0	1045	NA	"t2"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.506298449612403
100	0	2000	0	0	1085	NA	"t2"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.525678294573643
1	5	2000	0	0	151.7	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0734980620155039
2	5	2000	0	0	228.8	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.110852713178295
