"dT"	"dC"	"ATP"	"dTTP"	"dCTP"	"VdT"	"VdC"	"fg"	"year"	"jrnl"	"vol"	"page"	"frstAut"	"seq"	"state"	"E"	"k"
0	100	400	0	0	NA	641.9	"t2"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.310998062015504
0	100	800	0	0	NA	725.7	"t2"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.351598837209302
0	100	2000	0	0	NA	773.3	"t2"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.374660852713178
1	1	2000	0	0	NA	88.4	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0428294573643411
1	2	2000	0	0	NA	150.7	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0730135658914729
1	5	2000	0	0	NA	291	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.140988372093023
1	11	2000	0	0	NA	432.6	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.209593023255814
1	21	2000	0	0	NA	582.7	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.282315891472868
1	41	2000	0	0	NA	661.4	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.320445736434109
1	81	2000	0	0	NA	698.9	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.338614341085271
1	161	2000	0	0	NA	805.9	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.390455426356589
5	1	2000	0	0	NA	69.5	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0336724806201550
5	2	2000	0	0	NA	120.6	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0584302325581395
5	5	2000	0	0	NA	233.3	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.113032945736434
5	11	2000	0	0	NA	356.7	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.172819767441860
5	21	2000	0	0	NA	534.5	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.258963178294574
5	41	2000	0	0	NA	606	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.293604651162791
5	81	2000	0	0	NA	708.5	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.343265503875969
5	161	2000	0	0	NA	746.5	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.361676356589147
0	1	2000	0	1	NA	56.2	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0272286821705426
0	2	2000	0	1	NA	100.5	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0486918604651163
0	5	2000	0	1	NA	201.2	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0974806201550387
0	11	2000	0	1	NA	337.1	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.163323643410853
0	21	2000	0	1	NA	475.1	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.230184108527132
0	41	2000	0	1	NA	618.6	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.299709302325581
0	81	2000	0	1	NA	712.9	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.345397286821705
0	161	2000	0	1	NA	878.9	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.425823643410853
0	1	2000	0	5	NA	27.8	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0134689922480620
0	2	2000	0	5	NA	49.8	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0241279069767442
0	5	2000	0	5	NA	103.4	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0500968992248062
0	11	2000	0	5	NA	196.4	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.09515503875969
0	21	2000	0	5	NA	302.9	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.146753875968992
0	41	2000	0	5	NA	408.9	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.198110465116279
0	81	2000	0	5	NA	551.3	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.267102713178295
0	161	2000	0	5	NA	707.9	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.342974806201550
0	1	2000	1	0	NA	73.6	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0356589147286822
0	2	2000	1	0	NA	125.1	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0606104651162791
0	5	2000	1	0	NA	246.1	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.119234496124031
0	11	2000	1	0	NA	377.9	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.183091085271318
0	21	2000	1	0	NA	492.9	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.238808139534884
0	41	2000	1	0	NA	576.4	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.279263565891473
0	81	2000	1	0	NA	580.7	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.281346899224806
0	161	2000	1	0	NA	652.1	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.31593992248062
0	1	2000	5	0	NA	65.8	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0318798449612403
0	2	2000	5	0	NA	106.9	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0517926356589147
0	5	2000	5	0	NA	199	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0964147286821705
0	11	2000	5	0	NA	303.9	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.147238372093023
0	21	2000	5	0	NA	417.8	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.202422480620155
0	41	2000	5	0	NA	490.3	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.237548449612403
0	81	2000	5	0	NA	553.7	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.268265503875969
0	161	2000	5	0	NA	537.3	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.260319767441860
0	1	2000	0	0	NA	27.2	"t1"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0131782945736434
0	2	2000	0	0	NA	47.8	"t1"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0231589147286822
0	5	2000	0	0	NA	90.9	"t1"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0440406976744186
0	11	2000	0	0	NA	130.3	"t1"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0631298449612403
0	21	2000	0	0	NA	174.2	"t1"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0843992248062016
0	41	2000	0	0	NA	204.6	"t1"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0991279069767442
0	81	2000	0	0	NA	219.8	"t1"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.106492248062016
0	161	2000	0	0	NA	232.1	"t1"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.112451550387597
0	100	5	0	0	NA	21.6	"t2"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0104651162790698
0	100	10	0	0	NA	36.9	"t2"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0178779069767442
0	100	20	0	0	NA	65.3	"t2"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0316375968992248
0	100	50	0	0	NA	82.9	"t2"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0401647286821705
0	100	100	0	0	NA	93.9	"t2"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0454941860465116
0	100	200	0	0	NA	184.5	"t2"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.089389534883721
0	100	400	0	0	NA	236	"t2"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.114341085271318
0	100	800	0	0	NA	270.6	"t2"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.131104651162791
0	100	2000	0	0	NA	302	"t2"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.146317829457364
2	1	2000	0	0	NA	18.5	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.00896317829457364
2	2	2000	0	0	NA	31.9	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0154554263565891
2	5	2000	0	0	NA	60.1	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0291182170542636
2	11	2000	0	0	NA	80.2	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0388565891472868
2	21	2000	0	0	NA	109.5	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0530523255813954
2	41	2000	0	0	NA	124.5	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0603197674418605
2	81	2000	0	0	NA	137.1	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0664244186046512
2	161	2000	0	0	NA	160.2	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0776162790697674
10	1	2000	0	0	NA	12.4	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0060077519379845
10	2	2000	0	0	NA	22.2	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0107558139534884
10	5	2000	0	0	NA	43.6	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0211240310077519
10	11	2000	0	0	NA	58.8	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0284883720930233
10	21	2000	0	0	NA	87.5	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0423934108527132
10	41	2000	0	0	NA	94.7	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0458817829457364
10	81	2000	0	0	NA	117.8	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0570736434108527
10	161	2000	0	0	NA	128.3	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0621608527131783
0	1	2000	0	2	NA	11.4	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.00552325581395349
0	2	2000	0	2	NA	20.1	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.00973837209302326
0	5	2000	0	2	NA	40.5	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0196220930232558
0	11	2000	0	2	NA	75.3	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0364825581395349
0	21	2000	0	2	NA	101.7	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0492732558139535
0	41	2000	0	2	NA	141.7	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0686531007751938
0	81	2000	0	2	NA	159.5	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0772771317829457
0	161	2000	0	2	NA	234.1	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.113420542635659
0	1	2000	0	10	NA	4	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.00193798449612403
0	2	2000	0	10	NA	6.8	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.00329457364341085
0	5	2000	0	10	NA	16.2	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.00784883720930232
0	11	2000	0	10	NA	31.2	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0151162790697674
0	21	2000	0	10	NA	46.2	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0223837209302326
0	41	2000	0	10	NA	66.9	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0324127906976744
0	81	2000	0	10	NA	98.8	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0478682170542636
0	161	2000	0	10	NA	146.8	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.071124031007752
0	1	2000	2	0	NA	18.6	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.00901162790697674
0	2	2000	2	0	NA	30.4	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0147286821705426
0	5	2000	2	0	NA	54.4	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0263565891472868
0	11	2000	2	0	NA	84.4	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0408914728682171
0	21	2000	2	0	NA	93.1	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0451065891472868
0	41	2000	2	0	NA	107.2	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.051937984496124
0	81	2000	2	0	NA	131.4	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0636627906976744
0	161	2000	2	0	NA	124	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.060077519379845
0	1	2000	10	0	NA	11.9	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.00576550387596899
0	2	2000	10	0	NA	20.9	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0101259689922481
0	5	2000	10	0	NA	37.9	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0183624031007752
0	11	2000	10	0	NA	60	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0290697674418605
0	21	2000	10	0	NA	69.4	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0336240310077519
0	41	2000	10	0	NA	82.5	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0399709302325581
0	81	2000	10	0	NA	101.2	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.049031007751938
0	161	2000	10	0	NA	118.4	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0573643410852713
0.05	0	300	0	0	5.806080556	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.0028130235251938
0.1	0	300	0	0	9.545039718	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.00462453474709302
0.25	0	300	0	0	14.01122143	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.0067883824757752
0.5	0	300	0	0	19.4135569	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.00940579307170543
1	0	300	0	0	28.26561363	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.0136945802470930
1.5	0	300	0	0	33.13461586	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.0160535929554264
2	0	300	0	0	38.78268151	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.0187900588711240
3	0	300	0	0	52.83332879	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.0255975430184109
4	0	300	0	0	55.57973284	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.0269281651356589
5	0	300	0	0	62.48222836	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.0302723974612403
7.5	0	300	0	0	86.43043736	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.0418752118992248
10	0	300	0	0	99.95298523	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.0484268339292636
12.5	0	300	0	0	112.9623538	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.0547298225775194
15	0	300	0	0	136.585699	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.0661752417635659
20	0	300	0	0	148.9190471	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.0721507011143411
30	0	300	0	0	198.3887369	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.0961185740794574
40	0	300	0	0	218.3635393	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.105796288420543
50	0	300	0	0	264.6097169	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.128202382218992
75	0	300	0	0	274.367903	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.132930185562016
100	0	300	0	0	322.5219019	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.156260611385659
150	0	300	0	0	368.555875	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.178563892926357
200	0	300	0	0	378.0487618	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.183163159786822
0.05	0	300	0	0	8.561236409	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.00414788585707364
0.1	0	300	0	0	12.60498779	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.00610706772771318
0.25	0	300	0	0	19.52520377	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.00945988554748062
0.5	0	300	0	0	26.98698185	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.0130750881056202
1	0	300	0	0	33.38721127	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.0161759744525194
1.5	0	300	0	0	41.18282266	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.0199529179554264
2	0	300	0	0	45.67886308	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.0221312321124031
3	0	300	0	0	61.93935678	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.0300093782848837
4	0	300	0	0	65.09504183	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.0315382954602713
5	0	300	0	0	75.65160949	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.0366529115746124
7.5	0	300	0	0	92.76590471	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.0449447212742248
10	0	300	0	0	128.2851948	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.0621536796511628
12.5	0	300	0	0	127.5407592	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.0617930034883721
15	0	300	0	0	148.4976435	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.0719465327034884
20	0	300	0	0	171.6699978	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.0831734485465116
30	0	300	0	0	198.3925765	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.0961204343507752
40	0	300	0	0	231.9145959	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.112361722819767
50	0	300	0	0	251.1389809	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.121675862839147
75	0	300	0	0	294.7718298	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.142815809011628
100	0	300	0	0	305.9987385	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.148255202761628
150	0	300	0	0	341.099126	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.165261204457364
200	0	300	0	0	373.3780088	NA	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.180900198062015
0	0.05	300	0	0	NA	1.090647597	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.000528414533430233
0	0.1	300	0	0	NA	2.376642712	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.00115147418217054
0	0.25	300	0	0	NA	5.4413297	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.00263630314922481
0	0.5	300	0	0	NA	9.905854135	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.00479934793362403
0	1	300	0	0	NA	19.75067693	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.00956912641957364
0	1.5	300	0	0	NA	28.25740728	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.0136906043023256
0	2	300	0	0	NA	32.81181113	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.0158971953149225
0	3	300	0	0	NA	43.83442803	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.0212376104796512
0	4	300	0	0	NA	52.73937191	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.0255520212742248
0	5	300	0	0	NA	62.60107903	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.0303299801501938
0	7.5	300	0	0	NA	75.36563792	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.0365143594573643
0	10	300	0	0	NA	91.08397503	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.0441298328633721
0	12.5	300	0	0	NA	100.1592954	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.0485267904069767
0	15	300	0	0	NA	103.3396454	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.0500676576550388
0	20	300	0	0	NA	130.4250979	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.0631904544089147
0	30	300	0	0	NA	140.0582129	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.0678576612887597
0	40	300	0	0	NA	167.4323031	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.0811203018895349
0	50	300	0	0	NA	176.2141479	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.0853750716569767
0	75	300	0	0	NA	194.8869542	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.0944219739341085
0	100	300	0	0	NA	186.7249556	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.090467517248062
0	150	300	0	0	NA	222.0759952	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.107594958914729
0	200	300	0	0	NA	233.0762698	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.112924549321705
0	300	300	0	0	NA	241.0283521	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"dimer"	0.0344	0.116777302374031
0	0.05	300	0	0	NA	2.412021656	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.00116861514341085
0	0.1	300	0	0	NA	4.702133442	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.00227816542732558
0	0.25	300	0	0	NA	10.69795842	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.00518311938953488
0	0.5	300	0	0	NA	18.23708302	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.0088357960368217
0	1	300	0	0	NA	30.4506335	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.0147532139050388
0	1.5	300	0	0	NA	42.79183474	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.0207324780717054
0	2	300	0	0	NA	51.50223364	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.0249526325775194
0	3	300	0	0	NA	64.19102949	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.0311003049854651
0	4	300	0	0	NA	72.75745955	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.0352507071463178
0	5	300	0	0	NA	81.99781046	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.0397276213468992
0	7.5	300	0	0	NA	98.71001939	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.0478246217974806
0	10	300	0	0	NA	109.36164	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.0529852906976744
0	12.5	300	0	0	NA	116.6452686	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.0565141805232558
0	15	300	0	0	NA	121.6629525	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.0589452289244186
0	20	300	0	0	NA	128.8682952	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.0624361895348837
0	30	300	0	0	NA	155.28951	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.0752371656976744
0	40	300	0	0	NA	163.6335439	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.0792798177810077
0	50	300	0	0	NA	171.5801323	"6"	2003	"Biochem"	42	15158	"Barroso"	"wt"	"tetramer"	0.0344	0.0831299090600775
