logS,logVoverVmmV
4.64582E-2,1.62010E-2
9.66220E-2,2.40372E-2
2.34444E-1,3.77317E-2
4.69154E-1,5.29143E-2
9.75729E-1,6.62954E-2
1.43451E+0,8.30605E-2
1.87874E+0,9.29715E-2
2.87065E+0,1.30382E-1
3.90734E+0,1.37941E-1
4.73771E+0,1.63353E-1
7.23905E+0,2.04662E-1
9.48079E+0,3.21262E-1
1.19473E+1,3.03656E-1
1.44863E+1,3.80446E-1
1.97178E+1,4.76654E-1
2.89890E+1,5.97193E-1
3.94579E+1,7.48213E-1
4.78434E+1,8.86050E-1
7.31030E+1,1.24258E+0
9.57410E+1,1.31463E+0
1.46289E+2,1.74257E+0
1.91590E+2,2.30983E+0
4.82837E-2,9.22069E-3
9.66220E-2,1.81341E-2
2.43656E-1,4.22340E-2
4.69154E-1,7.42060E-2
9.75729E-1,1.30382E-1
1.43451E+0,1.93446E-1
1.87874E+0,2.42366E-1
2.87065E+0,3.21262E-1
3.75962E+0,3.80446E-1
4.73771E+0,4.50532E-1
7.52349E+0,5.97193E-1
9.48079E+0,7.07209E-1
1.19473E+1,7.91595E-1
1.39386E+1,8.37492E-1
1.97178E+1,9.37424E-1
2.89890E+1,1.39085E+0
3.79661E+1,1.64707E+0
4.78434E+1,1.84361E+0
7.03392E+1,2.73535E+0
9.21213E+1,2.73535E+0
1.40758E+2,3.83600E+0
1.91590E+2,5.37954E+0
2.81676E+2,7.13073E+0
