"T","C","state","V","year"
150,0,"tetramer",1049.74601011414,2005
200,0,"tetramer",1081.21807870403,2005
300,0,"tetramer",1110.49119642908,2005
0,0.05,"tetramer",10.0790274659371,2005
0,0.1,"tetramer",20.6930570611984,2005
0,0.25,"tetramer",47.4243223565863,2005
0,0.5,"tetramer",87.0836937493337,2005
0,1,"tetramer",152.520233501847,2005
0,1.5,"tetramer",196.703327175959,2005
0,2,"tetramer",237.375326877986,2005
0,3,"tetramer",259.266762332719,2005
0,4,"tetramer",353.790841034867,2005
0,5,"tetramer",378.209316487999,2005
0,7.5,"tetramer",423.754334053937,2005
0,10,"tetramer",459.987251060485,2005
0,12.5,"tetramer",484.398127960559,2005
0,15,"tetramer",495.312566275258,2005
0,20,"tetramer",571.132152409059,2005
0,30,"tetramer",598.485180394278,2005
0,40,"tetramer",628.17258811368,2005
0,50,"tetramer",649.953976866192,2005
0,75,"tetramer",660.57252054271,2005
0,100,"tetramer",670.134115987721,2005
0,150,"tetramer",691.081530591833,2005
0,200,"tetramer",700.269862637477,2005
0,300,"tetramer",709.723483532183,2005
