logS,logVoverVmmV
4.82837E-2,1.02365E-2
1.00418E-1,1.69402E-2
2.43656E-1,2.50653E-2
4.87588E-1,3.50687E-2
9.75729E-1,5.18888E-2
1.49088E+0,6.13757E-2
1.95256E+0,7.25972E-2
2.98345E+0,1.01570E-1
3.90734E+0,1.07417E-1
4.92387E+0,1.20141E-1
7.23905E+0,1.77764E-1
9.85331E+0,2.10265E-1
1.24167E+1,2.48708E-1
1.44863E+1,3.11115E-1
1.97178E+1,3.47966E-1
3.01281E+1,5.14861E-1
3.94579E+1,6.08995E-1
4.97232E+1,8.52040E-1
7.31030E+1,9.01089E-1
9.57410E+1,1.26071E+0
1.46289E+2,1.76384E+0
1.99118E+2,1.86538E+0
4.82837E-2,3.95292E-3
1.00418E-1,8.65419E-3
2.43656E-1,2.00374E-2
4.87588E-1,3.70875E-2
9.75729E-1,7.67764E-2
1.49088E+0,1.13601E-1
1.95256E+0,1.34371E-1
2.98345E+0,1.87997E-1
3.90734E+0,2.35170E-1
4.92387E+0,2.94180E-1
7.52349E+0,3.67997E-1
9.85331E+0,4.86836E-1
1.24167E+1,5.75845E-1
1.44863E+1,5.75845E-1
2.04925E+1,8.52040E-1
3.13119E+1,1.00782E+0
3.94579E+1,1.49120E+0
4.78434E+1,1.66783E+0
7.31030E+1,2.33345E+0
9.57410E+1,1.97277E+0
1.46289E+2,3.86161E+0
1.99118E+2,5.10866E+0
2.92743E+2,6.39055E+0
